YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2013,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2014,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2015,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2016,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2017,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2018,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2019,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
2020,,AMAV,,American Avocet,Recurvirostra americana,RECAME,
1998,+,AMBI,,American Bittern,Botaurus lentiginosus,,*
2000,+,AMBI,,American Bittern,Botaurus lentiginosus,Botlen,*
2002,,AMBI,,American Bittern,Botaurus lentiginosus,Botlen,
2004,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2006,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2008,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2009,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2010,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2011,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2012,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2013,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2014,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2015,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2016,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2017,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2018,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2019,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
2020,,AMBI,,American Bittern,Botaurus lentiginosus,BOTLEN,
1998,+,ABDU,,American Black Duck,Anas rubripes,,*
2000,+,ABDU,,American Black Duck,Anas rubripes,Anarub,*
2002,,ABDU,,American Black Duck,Anas rubripes,Anarub,
2004,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2006,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2008,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2009,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2010,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2011,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2012,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2013,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2014,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2015,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2016,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2017,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2018,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2019,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2020,,ABDU,,American Black Duck,Anas rubripes,ANARUB,
2000,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,,*
2002,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,Anarup,
2004,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2006,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2008,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2009,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2010,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2011,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2012,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2013,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2014,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2015,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2016,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2017,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platy.,ANARUP,
2018,+,ABDH,,American Black Duck X Mallard Hybrid,Anas rubripes x platyrhynchos,ANARUP,
2019,+,ABMH,*,American Black Duck X Mallard Hybrid,Anas rubripes x platyrhynchos,ANARUP,
2020,+,ABMH,*,American Black Duck X Mallard Hybrid,Anas rubripes x platyrhynchos,ANARUP,
1998,+,AMCO,,American Coot,Fulica americana,,*
2000,+,AMCO,,American Coot,Fulica americana,Fulame,*
2002,,AMCO,,American Coot,Fulica americana,Fulame,
2004,,AMCO,,American Coot,Fulica americana,FULAME,
2006,,AMCO,,American Coot,Fulica americana,FULAME,
2008,,AMCO,,American Coot,Fulica americana,FULAME,
2009,,AMCO,,American Coot,Fulica americana,FULAME,
2010,,AMCO,,American Coot,Fulica americana,FULAME,
2011,,AMCO,,American Coot,Fulica americana,FULAME,
2012,,AMCO,,American Coot,Fulica americana,FULAME,
2013,,AMCO,,American Coot,Fulica americana,FULAME,
2014,,AMCO,,American Coot,Fulica americana,FULAME,
2015,,AMCO,,American Coot,Fulica americana,FULAME,
2016,,AMCO,,American Coot,Fulica americana,FULAME,
2017,,AMCO,,American Coot,Fulica americana,FULAME,
2018,,AMCO,,American Coot,Fulica americana,FULAME,
2019,,AMCO,,American Coot,Fulica americana,FULAME,
2020,,AMCO,,American Coot,Fulica americana,FULAME,
1998,+,AMCR,,American Crow,Corvus brachyrhynchos,,*
2000,+,AMCR,,American Crow,Corvus brachyrhynchos,Corbra,*
2002,,AMCR,,American Crow,Corvus brachyrhynchos,Corbra
2004,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2006,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2008,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2009,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2010,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2011,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2012,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2013,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2014,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2015,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2016,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2017,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2018,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2019,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
2020,,AMCR,,American Crow,Corvus brachyrhynchos,CORBRA
1998,+,AMDI,,American Dipper,Cinclus mexicanus,,*
2000,+,AMDI,,American Dipper,Cinclus mexicanus,Cinmex,*
2002,,AMDI,,American Dipper,Cinclus mexicanus,Cinmex,
2004,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2006,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2008,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2009,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2010,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2011,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2012,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2013,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2014,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2015,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2016,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2017,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2018,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2019,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2020,,AMDI,,American Dipper,Cinclus mexicanus,CINMEX,
2008,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2009,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2010,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2011,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2012,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2013,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2014,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2015,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2016,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2017,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2018,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2019,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
2020,,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,
1998,+,AMGP,,American Golden-Plover,Pluvialis dominica,,*
2000,+,AMGP,,American Golden-Plover,Pluvialis dominica,Pludom,*
2002,,AMGP,,American Golden-Plover,Pluvialis dominica,Pludom,
2004,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2006,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2008,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2009,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2010,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2011,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2012,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2013,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2014,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2015,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2016,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2017,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2018,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2019,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
2020,,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,
1998,+,AMGO,,American Goldfinch,Carduelis tristis,,*
2000,+,AMGO,,American Goldfinch,Carduelis tristis,Cartri,*
2002,,AMGO,,American Goldfinch,Carduelis tristis,Cartri,
2004,,AMGO,,American Goldfinch,Carduelis tristis,CARTRI,
2006,,AMGO,,American Goldfinch,Carduelis tristis,CARTRI,
2008,,AMGO,,American Goldfinch,Carduelis tristis,CARTRI,
2009,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2010,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2011,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2012,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2013,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2014,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2015,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2016,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2017,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2018,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2019,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
2020,,AMGO,,American Goldfinch,Spinus tristis,SPITRI,
1998,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,,*
2000,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,,*
2002,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,Anacca,
2004,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2006,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2008,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2009,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2010,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2011,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2012,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2013,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2014,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2015,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2016,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2017,+,AGWT,,American Green-winged Teal,Anas c. carolinensis,ANACCA,
2018,+,AGWT,,American Green-winged Teal,Anas crecca carolinensis,ANACCA,
2019,+,AGWT,,American Green-winged Teal,Anas crecca carolinensis,ANACCA,
2020,+,AGWT,,American Green-winged Teal,Anas crecca carolinensis,ANACCA,
1998,+,AMKE,,American Kestrel,Falco sparverius,,*
2000,+,AMKE,,American Kestrel,Falco sparverius,Falspa,*
2002,,AMKE,,American Kestrel,Falco sparverius,Falspa,
2004,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2006,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2008,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2009,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2010,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2011,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2012,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2013,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2014,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2015,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2016,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2017,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2018,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2019,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
2020,,AMKE,,American Kestrel,Falco sparverius,FALSPA,
1998,+,AMOY,,American Oystercatcher,Haematopus palliatus,,*
2000,+,AMOY,,American Oystercatcher,Haematopus palliatus,Haepal,*
2002,,AMOY,,American Oystercatcher,Haematopus palliatus,Haepal,
2004,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2006,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2008,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2009,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2010,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2011,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2012,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2013,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2014,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2015,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2016,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2017,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2018,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2019,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
2020,,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,
1998,+,AMPI,,American Pipit,Anthus rubescens,,*
2000,+,AMPI,,American Pipit,Anthus rubescens,Antrub,*
2002,,AMPI,,American Pipit,Anthus rubescens,Antrub,
2004,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2006,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2008,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2009,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2010,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2011,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2012,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2013,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2014,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2015,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2016,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2017,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2018,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2019,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
2020,,AMPI,,American Pipit,Anthus rubescens,ANTRUB,
1998,+,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,,*
2000,+,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,Chlaen,*
2002,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,Chlaen,
2004,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2006,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2008,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2009,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2010,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2011,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2012,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2013,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2014,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2015,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2016,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2017,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2018,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2019,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
2020,,APKI,,American Pygmy Kingfisher,Chloroceryle aenea,CHLAEN,
1998,+,AMRE,,American Redstart,Setophaga ruticilla,,*
2000,+,AMRE,,American Redstart,Setophaga ruticilla,Setrut,*
2002,,AMRE,,American Redstart,Setophaga ruticilla,Setrut,
2004,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2006,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2008,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2009,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2010,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2011,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2012,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2013,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2014,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2015,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2016,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2017,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2018,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2019,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
2020,,AMRE,,American Redstart,Setophaga ruticilla,SETRUT,
1998,+,AMRO,,American Robin,Turdus migratorius,,*
2000,+,AMRO,,American Robin,Turdus migratorius,Turmig,*
2002,,AMRO,,American Robin,Turdus migratorius,Turmig,
2004,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2006,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2008,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2009,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2010,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2011,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2012,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2013,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2014,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2015,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2016,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2017,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2018,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2019,,AMRO,,American Robin,Turdus migratorius,TURMIG,
2020,,AMRO,,American Robin,Turdus migratorius,TURMIG
2004,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2006,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2008,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2009,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2010,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2011,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2012,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2013,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2014,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2015,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2016,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2017,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2018,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2019,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
2020,,ATTW,,American Three-toed Woodpecker,Picoides dorsalis,PICDOR
1998,+,ATSP,,American Tree Sparrow,Spizella arborea,,*
2000,+,ATSP,,American Tree Sparrow,Spizella arborea,Spiarb,*
2002,,ATSP,,American Tree Sparrow,Spizella arborea,Spiarb,
2004,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2006,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2008,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2009,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2010,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2011,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2012,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2013,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2014,,ATSP,,American Tree Sparrow,Spizella arborea,SPIARB,
2015,,ATSP,,American Tree Sparrow,Spizelloides arborea,SPIARB,
2016,,ATSP,,American Tree Sparrow,Spizelloides arborea,SPIARB,
2017,,ATSP,,American Tree Sparrow,Spizelloides arborea,SPIARB,
2018,,ATSP,,American Tree Sparrow,Spizelloides arborea,SPIARB,
2019,,ATSP,,American Tree Sparrow,Spizelloides arborea,SPIARB,
2020,,ATSP,,American Tree Sparrow,Spizelloides arborea,SPIARB,
1998,+,AWPE,,American White Pelican,Pelecanus erythrorhynchos,,*
2000,+,AWPE,,American White Pelican,Pelecanus erythrorhynchos,Pelery,*
2002,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,Pelery,
2004,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2006,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2008,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2009,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2010,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2011,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2012,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2013,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2014,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2015,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2016,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2017,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2018,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2019,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
2020,,AWPE,,American White Pelican,Pelecanus erythrorhynchos,PELERY,
1998,+,AMWI,,American Wigeon,Anas americana,,*
2000,+,AMWI,,American Wigeon,Anas americana,Anaame,*
2002,,AMWI,,American Wigeon,Anas americana,Anaame,
2004,,AMWI,,American Wigeon,Anas americana,ANAAME,
2006,,AMWI,,American Wigeon,Anas americana,ANAAME,
2008,,AMWI,,American Wigeon,Anas americana,ANAAME,
2009,,AMWI,,American Wigeon,Anas americana,ANAAME,
2010,,AMWI,,American Wigeon,Anas americana,ANAAME,
2011,,AMWI,,American Wigeon,Anas americana,ANAAME,
2012,,AMWI,,American Wigeon,Anas americana,ANAAME,
2013,,AMWI,,American Wigeon,Anas americana,ANAAME,
2014,,AMWI,,American Wigeon,Anas americana,ANAAME,
2015,,AMWI,,American Wigeon,Anas americana,ANAAME,
2016,,AMWI,,American Wigeon,Anas americana,ANAAME,
2017,,AMWI,,American Wigeon,Mareca americana,MARAME,
2018,,AMWI,,American Wigeon,Mareca americana,MARAME,
2019,,AMWI,,American Wigeon,Mareca americana,MARAME,
2020,,AMWI,,American Wigeon,Mareca americana,MARAME,
1998,+,AMWO,,American Woodcock,Scolopax minor,,*
2000,+,AMWO,,American Woodcock,Scolopax minor,Scomin,*
2002,,AMWO,,American Woodcock,Scolopax minor,Scomin,
2004,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2006,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2008,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2009,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2010,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2011,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2012,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2013,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2014,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2015,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2016,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2017,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2018,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2019,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
2020,,AMWO,,American Woodcock,Scolopax minor,SCOMIN,
1998,+,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,,*
2000,+,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,Lamame,*
2002,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,Lamame,
2004,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2006,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2008,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2009,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2010,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2011,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2012,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2013,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2014,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2015,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2016,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2017,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
2018,,ATHU,,Amethyst-throated Hummingbird,Lampornis amethystinus,LAMAME,
