YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2017,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2018,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2019,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2020,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
1998,+,ALFL,,Alder Flycatcher,Empidonax alnorum,,*
2000,+,ALFL,,Alder Flycatcher,Empidonax alnorum,Empaln,*
2002,,ALFL,,Alder Flycatcher,Empidonax alnorum,Empaln,
2004,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2006,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2008,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2009,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2010,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2011,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2012,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2013,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2014,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2015,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
2016,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN
2017,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN
2018,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN
2019,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN
2020,,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN
2004,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2006,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2008,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2009,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2010,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2011,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2012,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2013,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2014,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2015,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2016,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE
2017,+,ACGO,,Aleutian Cackling Goose,Branta h. leucopareia,BRAHLE,
2018,+,ACGO,,Aleutian Cackling Goose,Branta hutchinsii leucopareia,BRAHLE,
2019,+,ACGO,,Aleutian Cackling Goose,Branta hutchinsii leucopareia,BRAHLE,
2020,+,ACGO,,Aleutian Cackling Goose,Branta hutchinsii leucopareia,BRAHLE,
1998,+,ACGO,,Aleutian Canada Goose,Branta c. leucopareia,,*
2000,+,ACGO,,Aleutian Canada Goose,Branta c. leucopareia,,*
2002,+,ACGO,,Aleutian Canada Goose,Branta c. leucopareia,Bracle,
1998,+,ALTE,,Aleutian Tern,Sterna aleutica,,*
2000,+,ALTE,,Aleutian Tern,Sterna aleutica,Steale,*
2002,,ALTE,,Aleutian Tern,Sterna aleutica,Steale,
2004,,ALTE,,Aleutian Tern,Sterna aleutica,STEALE,
2006,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2008,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2009,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2010,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2011,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2012,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2013,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2014,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2015,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2016,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2017,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2018,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2019,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
2020,,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
1998,+,ALHU,,Allen's Hummingbird,Selasphorus sasin,,*
2000,+,ALHU,,Allen's Hummingbird,Selasphorus sasin,Selsas,*
2002,,ALHU,,Allen's Hummingbird,Selasphorus sasin,Selsas,
2004,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2006,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2008,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2009,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2010,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2011,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2012,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2013,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2014,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2015,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2016,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2017,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2018,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2019,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
2020,,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
1998,+,ALSW,,Alpine Swift,Apus melba,,*
2000,+,ALSW,,Alpine Swift,Apus melba,Apumel,*
2002,,ALSW,,Alpine Swift,Apus melba,Apumel,
2004,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2006,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2008,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2009,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2010,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2011,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2012,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2013,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2014,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2015,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2016,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2017,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2018,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2019,,ALSW,,Alpine Swift,Apus melba,APUMEL,
2020,,ALSW,,Alpine Swift,Apus melba,APUMEL,
1998,+,ALOR,,Altamira Oriole,Icterus gularis,,*
2000,+,ALOR,,Altamira Oriole,Icterus gularis,Ictgul,*
2002,,ALOR,,Altamira Oriole,Icterus gularis,Ictgul,
2004,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2006,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2008,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2009,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2010,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2011,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2012,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2013,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2014,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2015,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2016,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2017,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2018,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2019,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
2020,,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
1998,+,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,,*
2000,+,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,Geofla,*
2002,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,Geofla,
2004,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2006,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2008,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2009,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2010,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2011,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2012,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2013,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2014,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2015,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2016,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2017,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2018,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2019,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
2020,,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
1998,+,AMAU,,Amaui,Myadestes woahensis,,*
2000,+,AMAU,,Amaui,Myadestes woahensis,Myawoa,*
2002,,AMAU,,Amaui,Myadestes woahensis,Myawoa,
